string,case,gender,number,value,order,num_class,scale
дванадцяті дванадцятих,accusative,,plural,12,1,ordinal,
дванадцятим,instrumental,masculine,singular,12,1,ordinal,
дванадцятою,instrumental,feminine,singular,12,1,ordinal,
дванадцятим,instrumental,neuter,singular,12,1,ordinal,
дванадцятими,instrumental,,plural,12,1,ordinal,
дванадцятому дванадцятім,prepositional,masculine,singular,12,1,ordinal,
дванадцятій,prepositional,feminine,singular,12,1,ordinal,
дванадцятому дванадцятім,prepositional,neuter,singular,12,1,ordinal,
дванадцятих,prepositional,,plural,12,1,ordinal,
тринадцять,nominative,,plural,13,1,quantitative,
тринадцятеро,nominative,,plural,13,1,collective,
тринадцяти тринадцятьох,genetive,,plural,13,1,quantitative,
тринадцяти тринадцятьом,dative,,plural,13,1,quantitative,
тринадцять тринадцятьох,accusative,,plural,13,1,quantitative,
тринадцятьма тринадцятьома,instrumental,,plural,13,1,quantitative,
тринадцяти тринадцятьох,prepositional,,plural,13,1,quantitative,
тринадцятий,nominative,masculine,singular,13,1,ordinal,
тринадцята,nominative,feminine,singular,13,1,ordinal,
тринадцяте,nominative,neuter,singular,13,1,ordinal,
тринадцяті,nominative,,plural,13,1,ordinal,
тринадцятого,genetive,masculine,singular,13,1,ordinal,
тринадцятої,genetive,feminine,singular,13,1,ordinal,
тринадцятого,genetive,neuter,singular,13,1,ordinal,
тринадцятих,genetive,,plural,13,1,ordinal,
тринадцятому,dative,masculine,singular,13,1,ordinal,
тринадцятій,dative,feminine,singular,13,1,ordinal,
тринадцятому,dative,neuter,singular,13,1,ordinal,
тринадцятим,dative,,plural,13,1,ordinal,
тринадцятий тринадцятого,accusative,masculine,singular,13,1,ordinal,
тринадцяту,accusative,feminine,singular,13,1,ordinal,
тринадцяте,accusative,neuter,singular,13,1,ordinal,
тринадцяті тринадцятих,accusative,,plural,13,1,ordinal,
тринадцятим,instrumental,masculine,singular,13,1,ordinal,
тринадцятою,instrumental,feminine,singular,13,1,ordinal,
тринадцятим,instrumental,neuter,singular,13,1,ordinal,
тринадцятими,instrumental,,plural,13,1,ordinal,
тринадцятому тринадцятім,prepositional,masculine,singular,13,1,ordinal,
тринадцятій,prepositional,feminine,singular,13,1,ordinal,
тринадцятому тринадцятім,prepositional,neuter,singular,13,1,ordinal,
тринадцятих,prepositional,,plural,13,1,ordinal,
чотирнадцять,nominative,,plural,14,1,quantitative,
чотирнадцятеро,nominative,,plural,14,1,collective,
чотирнадцяти чотирнадцятьох,genetive,,plural,14,1,quantitative,
чотирнадцяти чотирнадцятьом,dative,,plural,14,1,quantitative,
чотирнадцять чотирнадцятьох,accusative,,plural,14,1,quantitative,
чотирнадцятьма чотирнадцятьома,instrumental,,plural,14,1,quantitative,
чотирнадцяти чотирнадцятьох,prepositional,,plural,14,1,quantitative,
чотирнадцятий,nominative,masculine,singular,14,1,ordinal,
чотирнадцята,nominative,feminine,singular,14,1,ordinal,
чотирнадцяте,nominative,neuter,singular,14,1,ordinal,
чотирнадцяті,nominative,,plural,14,1,ordinal,
чотирнадцятого,genetive,masculine,singular,14,1,ordinal,
чотирнадцятої,genetive,feminine,singular,14,1,ordinal,
чотирнадцятого,genetive,neuter,singular,14,1,ordinal,
чотирнадцятих,genetive,,plural,14,1,ordinal,
чотирнадцятому,dative,masculine,singular,14,1,ordinal,
чотирнадцятій,dative,feminine,singular,14,1,ordinal,
чотирнадцятому,dative,neuter,singular,14,1,ordinal,
чотирнадцятим,dative,,plural,14,1,ordinal,
чотирнадцятий чотирнадцятого,accusative,masculine,singular,14,1,ordinal,
чотирнадцяту,accusative,feminine,singular,14,1,ordinal,
чотирнадцяте,accusative,neuter,singular,14,1,ordinal,
чотирнадцяті чотирнадцятих,accusative,,plural,14,1,ordinal,
чотирнадцятим,instrumental,masculine,singular,14,1,ordinal,
чотирнадцятою,instrumental,feminine,singular,14,1,ordinal,
чотирнадцятим,instrumental,neuter,singular,14,1,ordinal,
чотирнадцятими,instrumental,,plural,14,1,ordinal,
чотирнадцятому чотирнадцятім,prepositional,masculine,singular,14,1,ordinal,
чотирнадцятій,prepositional,feminine,singular,14,1,ordinal,
чотирнадцятому чотирнадцятім,prepositional,neuter,singular,14,1,ordinal,
чотирнадцятих,prepositional,,plural,14,1,ordinal,
п’ятнадцять,nominative,,plural,15,1,quantitative,
п’ятнадцятеро,nominative,,plural,15,1,collective,
п’ятнадцяти п’ятнадцятьох,genetive,,plural,15,1,quantitative,
п’ятнадцяти п’ятнадцятьом,dative,,plural,15,1,quantitative,
п’ятнадцять п’ятнадцятьох,accusative,,plural,15,1,quantitative,
п’ятнадцятьма п’ятнадцятьома,instrumental,,plural,15,1,quantitative,
п’ятнадцяти п’ятнадцятьох,prepositional,,plural,15,1,quantitative,
п’ятнадцятий,nominative,masculine,singular,15,1,ordinal,
п’ятнадцята,nominative,feminine,singular,15,1,ordinal,
п’ятнадцяте,nominative,neuter,singular,15,1,ordinal,
п’ятнадцяті,nominative,,plural,15,1,ordinal,
п’ятнадцятого,genetive,masculine,singular,15,1,ordinal,
п’ятнадцятої,genetive,feminine,singular,15,1,ordinal,
п’ятнадцятого,genetive,neuter,singular,15,1,ordinal,
